index,agency,numOfPositions,businessTitle,jobCategory,newLat,newLong,borough,salaryRangeTo,salaryRangeFrom,salaryFrequency,zip,jobCatCondensed
2,DEPT OF HEALTH/MENTAL HYGIENE,1,Contract Analyst,"Finance, Accounting, & Procurement",40.749357200000006,-73.93906190000001,Queens,85053.0,50598.0,Annual,11101.0,Other
3,DEPT OF ENVIRONMENT PROTECTION,1,Associate Chemist,"Health Public Safety, Inspections, & Enforcement",40.734879600000006,-73.86348939999998,Queens,75083.0,50623.0,Annual,11373.0,Managerial and Professional
4,LAW DEPARTMENT,1,Office Manager,Clerical & Administrative Support,40.713299299999996,-74.0101098,Manhattan,49707.0,30683.0,Annual,10007.0,"Technical, Sales, and Administrative"
5,DEPT OF INFO TECH & TELECOMM,1,"Deputy Director, Audits and Accounts","Finance, Accounting, & Procurement",40.7144626,-74.01097970000001,Manhattan,60000.0,49492.0,Annual,10007.0,Other
6,NYC EMPLOYEES RETIREMENT SYS,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,131623.0,87203.0,Annual,11201.0,Other
7,NYC EMPLOYEES RETIREMENT SYS,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,131623.0,87203.0,Annual,11201.0,Other
8,OFFICE OF COLLECTIVE BARGAININ,1,COLLEGE AIDE - CLERICAL,Clerical & Administrative Support,40.7103379,-74.00330290000001,Manhattan,10.36,8.75,Hourly,10038.0,"Technical, Sales, and Administrative"
9,OFFICE OF COLLECTIVE BARGAININ,1,COLLEGE AIDE - CLERICAL,Clerical & Administrative Support,40.7103379,-74.00330290000001,Manhattan,10.36,8.75,Hourly,10038.0,"Technical, Sales, and Administrative"
10,DEPT OF HEALTH/MENTAL HYGIENE,1,"Clerical Associate, Bureau of Communicable Diseases",Clerical & Administrative Support,40.749357200000006,-73.93906190000001,Queens,51981.0,32086.0,Annual,11101.0,"Technical, Sales, and Administrative"
11,DEPT OF INFO TECH & TELECOMM,1,"Deputy Director, Audits and Accounts","Finance, Accounting, & Procurement Information Technology & Telecommunications",40.7144626,-74.01097970000001,Manhattan,53000.0,43292.0,Annual,10007.0,Other
