,jobID,agency,businessTitle,#ofPositions,jobCategory,salaryRangeFrom,salaryRangeTo,workLocation1
0,137433,DEPT OF HEALTH/MENTAL HYGIENE,Contract Analyst,1,"Finance, Accounting, & Procurement",50598.0,85053.0,"42-09 28th Street, Long Island City, NY"
1,138531,DEPT OF ENVIRONMENT PROTECTION,Associate Chemist,1,"Health Public Safety, Inspections, & Enforcement",50623.0,75083.0,96-05 Horace Harding Expway
2,160910,DEPT OF INFO TECH & TELECOMM,"Deputy Director, Audits and Accounts",1,"Finance, Accounting, & Procurement",49492.0,60000.0,"New York, NY"
3,171040,DEPT OF HEALTH/MENTAL HYGIENE,"Clerical Associate, Bureau of Communicable Diseases",1,Clerical & Administrative Support,32086.0,51981.0,"42-09 28th Street, Queens, NY, 11101"
4,171944,DEPT OF INFO TECH & TELECOMM,"Deputy Director, Audits and Accounts",1,"Finance, Accounting, & Procurement Information Technology & Telecommunications",43292.0,53000.0,"NY, NY"
5,172053,DEPT OF INFO TECH & TELECOMM,311 Call Center Manager,1,Community & Business Services,49492.0,69000.0,"Manhattan, NY"
6,175362,DEPT OF HEALTH/MENTAL HYGIENE,"Clerical Associate, Bureau of Vital Statistics",1,Clerical & Administrative Support,32086.0,51981.0,"125 Worth Street, NY, NY, 10013"
7,177048,DEPT OF INFO TECH & TELECOMM,Application Support Reporting Specialist,1,Information Technology & Telecommunications,81290.0,95896.0,"Brooklyn, NY"
8,183112,DEPT OF INFO TECH & TELECOMM,GIS Analyst,1,Information Technology & Telecommunications,45174.0,62370.0,"Brooklyn, NY"
9,184328,DEPT OF INFO TECH & TELECOMM,"Director, Infrastructure Build Coordinator",1,Information Technology & Telecommunications,49492.0,100000.0,"Brooklyn, NY"
10,192723,DEPT OF INFO TECH & TELECOMM,Research Assistant,1,Clerical & Administrative Support Legal,40055.0,60611.0,Manhattan
11,192756,DEPARTMENT OF TRANSPORTATION,Systems Administrator - Computer Software,1,Information Technology & Telecommunications,81290.0,114954.0,55 Water St Ny Ny
12,192756,DEPARTMENT OF TRANSPORTATION,Systems Administrator - Computer Software,1,Information Technology & Telecommunications,81290.0,114954.0,55 Water St Ny Ny
13,197355,DEPT OF ENVIRONMENT PROTECTION,"Deputy Commissioner, Wastewater Treatment",1,"Engineering, Architecture, & Planning Maintenance & Operations",198518.0,198518.0,59-17 Junction Blvd Corona Ny
14,197355,DEPT OF ENVIRONMENT PROTECTION,"Deputy Commissioner, Wastewater Treatment",1,"Engineering, Architecture, & Planning Maintenance & Operations",198518.0,198518.0,59-17 Junction Blvd Corona Ny
15,197941,DEPT OF HEALTH/MENTAL HYGIENE,Public Health Nurse (School Health),5,Health,32.11,36.93,City-wide
16,197941,DEPT OF HEALTH/MENTAL HYGIENE,Public Health Nurse (School Health),5,Health,32.11,36.93,City-wide
17,199170,DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",1,Health,41452.0,52821.0,Citywide - Alternate Work Schedule: Tuesday -Saturday
18,199768,DEPT OF INFO TECH & TELECOMM,Payroll Supervisor,1,Clerical & Administrative Support,33799.0,56249.0,"NY, NY"
19,203387,DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of STD Prevention and Control",1,Health,18.8112,24.2923,295 Flatbush Ext Brooklyn
20,209609,DEPT OF HEALTH/MENTAL HYGIENE,"Office Clerk AOT, Bureau of Mental Health",1,Clerical & Administrative Support,28965.0,43152.0,42-09 28th Street
21,209609,DEPT OF HEALTH/MENTAL HYGIENE,"Office Clerk AOT, Bureau of Mental Health",1,Clerical & Administrative Support,28965.0,43152.0,42-09 28th Street
22,221045,NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (WAN),1,Information Technology & Telecommunications,89383.0,134914.0,"335 Adams Street, Brooklyn NY"
23,221045,NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (WAN),1,Information Technology & Telecommunications,89383.0,134914.0,"335 Adams Street, Brooklyn NY"
24,226044,DEPT OF INFO TECH & TELECOMM,Payroll Data Associate,1,Clerical & Administrative Support,32888.0,50000.0,"Manhattan, NY"
25,226045,DEPT OF INFO TECH & TELECOMM,Senior Civil Service Advisor,1,Clerical & Administrative Support Policy & Analysis,62260.0,92704.0,"New York, NY"
26,229124,DEPT OF HEALTH/MENTAL HYGIENE,"HIV Program Associate, Bureau of STD Prevention and Control",1,Health,48900.0,69042.0,42-09 28th Street
27,229124,DEPT OF HEALTH/MENTAL HYGIENE,"HIV Program Associate, Bureau of STD Prevention and Control",1,Health,48900.0,69042.0,42-09 28th Street
28,229837,DEPT OF INFO TECH & TELECOMM,Senior Quality Oversight Analyst,1,Information Technology & Telecommunications,58675.0,125000.0,Manhattan
29,242091,DEPT OF HEALTH/MENTAL HYGIENE,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",8,Health,32.11,36.93,Citywide (Travel may be required)
30,242091,DEPT OF HEALTH/MENTAL HYGIENE,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",8,Health,32.11,36.93,Citywide (Travel may be required)
31,242109,DEPT OF INFO TECH & TELECOMM,IP Telephony Design Engineer,1,Information Technology & Telecommunications,87203.0,125000.0,"Brooklyn, NY"
32,242604,POLICE DEPARTMENT,Civilian Investigator,3,"Public Safety, Inspections, & Enforcement",37492.0,59863.0,"1 Police Plaza, N.Y."
33,242877,LAW DEPARTMENT,Claim Specialist,3,Clerical & Administrative Support Legal,37492.0,59863.0,"55 Water Street, N.Y., N.Y."
34,242877,LAW DEPARTMENT,Claim Specialist,3,Clerical & Administrative Support Legal,37492.0,59863.0,"55 Water Street, N.Y., N.Y."
35,243200,DEPARTMENT OF TRANSPORTATION,Principal Administrative Associate I,1,Clerical & Administrative Support,42856.0,62779.0,"34-02 Queens Boulevard Long Island City, N.Y. 11101"
36,243200,DEPARTMENT OF TRANSPORTATION,Principal Administrative Associate I,1,Clerical & Administrative Support,42856.0,62779.0,"34-02 Queens Boulevard Long Island City, N.Y. 11101"
37,243419,LAW DEPARTMENT,Senior Windows Administrator,1,Information Technology & Telecommunications,77157.0,99406.0,"100 Church St., N.Y."
38,243565,DEPARTMENT OF TRANSPORTATION,Investigator,1,"Public Safety, Inspections, & Enforcement",37492.0,59863.0,55 Water St Ny Ny
39,243565,DEPARTMENT OF TRANSPORTATION,Investigator,1,"Public Safety, Inspections, & Enforcement",37492.0,59863.0,55 Water St Ny Ny
40,243586,DEPARTMENT OF TRANSPORTATION,Admin Engineer (NM),1,"Engineering, Architecture, & Planning",48535.0,132061.0,TO BE DETERMINED
41,243586,DEPARTMENT OF TRANSPORTATION,Admin Engineer (NM),1,"Engineering, Architecture, & Planning",48535.0,132061.0,TO BE DETERMINED
